,name,href,type,box,box_avg,pre_avg,countries,data
0,哪吒之魔童降世,http://www.cbooo.cn/m/662685,动画,497365,36,24,中国,2019-07-26
1,流浪地球,http://www.cbooo.cn/m/642412,科幻,465592,45,29,中国,2019-02-05
2,复仇者联盟4：终局之战,http://www.cbooo.cn/m/670808,动作,424088,49,23,美国,2019-04-24
3,我和我的祖国,http://www.cbooo.cn/m/691481,剧情,294205,37,35,中国,2019-09-30
4,中国机长,http://www.cbooo.cn/m/681319,剧情,286387,37,27,中国,2019-09-30
5,疯狂的外星人,http://www.cbooo.cn/m/638300,喜剧,220293,42,30,中国,2019-02-05
6,飞驰人生,http://www.cbooo.cn/m/676018,喜剧,171785,42,25,中国,2019-02-05
7,烈火英雄,http://www.cbooo.cn/m/692321,灾难,169132,36,19,中国,2019-08-01
8,少年的你,http://www.cbooo.cn/m/680681,剧情,149925,36,17,中国,2019-10-25
9,速度与激情：特别行动,http://www.cbooo.cn/m/682202,动作,143060,36,15,美国,2019-08-23
10,蜘蛛侠：英雄远征,http://www.cbooo.cn/m/682139,动作,141401,36,17,美国,2019-06-28
11,扫毒2：天地对决,http://www.cbooo.cn/m/682018,剧情,129731,36,17,中国香港/中国,2019-07-05
12,大黄蜂,http://www.cbooo.cn/m/678494,动作,114784,36,11,美国,2019-01-04
13,攀登者,http://www.cbooo.cn/m/683180,剧情,108127,37,22,中国,2019-09-30
14,惊奇队长,http://www.cbooo.cn/m/679862,动作,103349,37,14,美国,2019-03-08
15,比悲伤更悲伤的故事,http://www.cbooo.cn/m/684702,爱情,95411,31,15,中国台湾,2019-03-14
16,哥斯拉2：怪兽之王,http://www.cbooo.cn/m/682691,科幻,93533,36,15,美国,2019-05-31
17,阿丽塔：战斗天使,http://www.cbooo.cn/m/306285,动作,89536,38,14,美国/加拿大/阿根廷,2019-02-22
18,银河补习班,http://www.cbooo.cn/m/682208,剧情,87236,34,16,中国,2019-07-18
19,狮子王,http://www.cbooo.cn/m/684512,剧情,82996,37,16,美国,2019-07-12
20,反贪风暴4,http://www.cbooo.cn/m/682238,动作,79551,35,11,中国/中国香港,2019-04-04
21,熊出没·原始时代,http://www.cbooo.cn/m/683172,动画,71518,39,22,中国,2019-02-05
22,使徒行者2：谍影行动,http://www.cbooo.cn/m/685579,动作,69943,36,17,中国/中国香港,2019-08-07
23,大侦探皮卡丘,http://www.cbooo.cn/m/670828,动画,63950,35,10,美国/日本,2019-05-10
24,新喜剧之王,http://www.cbooo.cn/m/683395,喜剧,62495,43,24,中国/中国香港,2019-02-05
